Designator,Mid X,Mid Y,Rotation,Layer
BT1,101.0,-85.0,90.0,bottom
BT2,101.0,-109.0,270.0,bottom
C1,122.5,-95.0,0.0,top
C2,82.402651,-96.5,180.0,top
D1,100.995,-56.75,0.0,top
D2,114.745,-75.25,0.0,top
D3,86.73,-76.0,180.0,top
D4,82.27,-109.0,0.0,top
M1,101.0,-66.73,180.0,bottom
Q1,88.27,-65.365,0.0,top
Q2,84.27,-85.615,0.0,top
Q3,117.98,-85.615,0.0,top
R1,108.5,-96.5,180.0,top
R2,115.19,-120.0,180.0,top
R3,87.69,-120.0,180.0,top
RV1,111.345,-62.985,0.0,top
SW1,118.5,-107.0,180.0,top
